message,author
Obama 1 for answering a different question #tweetdebate,johnmccrory
McCain 1 for bringing in Kennedy for emotional effect #tweetdebate,aeditor
#tweetdebate greed is how we got into this situation in the first place,Andrew K. Gay
McCain 2 Are you gonna vote for the plan  I hope so whatte fuck! #tweetdebate,TopDogVienna
McCain 1 for failing to meaningfully answer the question on economy #tweetdebate,fritzpw
McCain 1 improper analogy #tweetdebate,FrancesFlynnTho
Obama 1 for not understanding economic regulation in America. #tweetdebate,aeditor
#tweetdebate 1 McCain we saw these problems coming I thought the economy was fundamentally sound,melrp
Already tired of the Wall Street v Main Street analogies. #tweetdebate,PinkOliveFamily
how annoying are these animations on #Current TV.. reverting to old fashion MSNBC.. #tweetdebate,mysweetlife
@current #current How can you say I hope so when you are asked the question of voting for something You should know what yer view is!,Wading4U
John ten days ago you said the fundamentals of the economy were strong Hilarious #tweetdebate #current,c4chaos
McCain 1 for wearing a tie that makes my eyes sore. #tweetdebate,Scott_Drummond
McCain 1 for a total nonanswer #tweetdebate,Duhh
#tweetdebate,PinkOliveFamily
Funny if they looked at each other I think the talking points would disappear and they might even be constructive #tweetdebate,fritzpw
Really tired of hearing the word mainstreet in the debate #tweetdebate,gwfrink3
Fundamentally if McCain fundamentally uses fundamental one more time Im gonna go nuts. #tweetdebate,emergingtech
McCain 2 import/export claim #tweetdebate,mabraham1
McCain 2 Wrong Germany is the biggest exporter. Get your facts together! #tweetdebate,vanhoosear
#tweetdebate and when just when are the questions going to be answered instead of campaigning talk,RobSample
#tweetdebate 1 Mccain for not answering the question and saying the wall street   between the eyeblinking +hesitation he looks weird,vanhoosear
McCain is not answering the questions  #tweetdebate,rmonge4surf
McCain likes the bears in Montana joke too much #tweetdebate #current,emergingtech
1 McCain should not joke about bear DNA #tweetdebate,HunterTech
1 mccain I love bears in montana #tweetdebate,MichelleMMM
mccain 1 answer the question!  #tweetdebate,gwfrink3
1 McCain flag waving pandering about American workers #tweetdebate,daveevans
2 McCain for stringing too many colloquialisms together and postReaganomics sensationalism #tweetdebate,Duhh
#tweetdebate question what did McCain learn from his good friend Charles Keating during the S&L bailout,themurmish
McCain 3 for personal attack #tweetdebate,Nicole Beauchemin
mccain 1 for bringing up stupid bear study AGAIN #tweetdebate,gminks
#tweetdebate generic debate so far. They wont even look at each other.,themurmish
so far the debate reminds me of a school yard scolding #tweetdebate,jowyang
computer for their kid maybe the parents dont have one. #tweetdebate,CarriBugbee
@pamelawella is that what makes him look like that have always wondered..) #tweetdebate,MichelleMMM
Earmark spending has tripled over the last 5 years. Hasnt it been a Republican Administration for the last 7 #obamashot #tweetdebate,CarriBugbee
its like you can see Obama trying to remember all the talking points and get his slogans out there #tweetdebate,lumatts
McCain I dont mean to go back and forth I thought this was a debate. #tweetdebate,vanhoosear
1 McCain #tweetdebate I didnt win Miss Congeniality but his VP did!,teedubya
McCain 3 personal attack & 2 does he have evidence for this accusations to Obama #tweetdebate,CarriBugbee
Facebook Blunt Jackson McCain 3 for ongoing personal attacks irrelevant #tweetdebate. http//tinyurl.com/4fe6hh,smallspark
Obama on the defensive.  #tweetdebate,bluejack
#current #tweetdebate #mccainshot Stop interrupting Obama McCain was just about to say my friends,PeterDeb
Mccain the sherrif  uh #tweetdebate #current,FrancesFlynnTho
Jim Lehrer is having trouble getting them actually debating... fire up guys! #tweetdebate #debate08,elaineschoch
McCain 1 for failing to address the keystone tax cut issue #tweetdebate,damnneargenius
McCains laugh sounds like Bushs!!  SCARYY!!  #tweetdebate,3locina
#tweetdebate they wont even make eye contact. no one is responding directly,xylem
McCain seems to start every sentence with the point is that.... #tweetdebate #current,aureliusmaximus
rt they are calling Palin Bible Spice now. LOL #tweetdebate,damnneargenius
#tweetdebate Weird that McPain brings up all the Repub bilksters in jail. He wants to separate himself but doesnt seem like good strategy!,aeditor
McCain cant even look at him..he must have gas! #tweetdebate,CarriBugbee
@MaryTrigiani Hilarious line ... would have been better if Palin didnt ... #tweetdebate,blackvoices
I really would like to see Obama & McCain actually engage each otherrather than just talking to the camera #current #tweetdebate,damnneargenius
#tweetdebate 1 Obama for not answering earmark claim by McCain,dbradleyfacebk
#tweetdebate McPain were exporting jobs cause of hi biz taxes. NOT because of cheap labor Oh geez...,NTWhite
McCain really believes earmarks got us into this mess and tax cuts will get us out of it #tweetdebate,ipapyrus
McCain  have you tried buying health insurance for $5000 a year #tweetdebate,CarriBugbee
#tweetdebate looks like McCain cant make eye contact with Obama and respond directly to him. dang! there goes my friends again.,gminks
@current #current How can you give all those tax breaks and expect the economy to not go futher into the hole,lkblum
McCain wants us to read his lips #tweetdebate,naum
@davidweiner Youre playing that game  Im drinking everytime I hear #economy.,SukiFuller
McCain 1 avoiding the question wait waht was the question exactly.. #tweetdebate,bluejack
McCain 1 for failing (again) to heed the moderators instructions #tweetdebate,FrancesFlynnTho
Because I dont have an HDTV McCains moireeffect tie is giving me a skullcrushing headache #tweetdebate,TheDailyDG
@current  Ah yes the pot and the kettle are debating who is to blame for the proverbial heat in the kitchen.  #current,themurmish
Mccain 1 for looking down and grinning #tweetdebate,johnnycho
1 mccain for floating idea of $5k tax cuts #tweetdebate,anelsewhere
#tweetdebate PLEEZE people can we elect someone this time around who is SMART and ARTICULATE F*ck having a beer with him/her...,WazNeeni
#tweetdebate 3 McCain untasty comment about Obama not knowing about household income and wealth,damnneargenius
1 McCain for breaking the debate rules. #tweetdebate,kdpaine
Christmas trees are economic issues McCain  #current #tweetdebate,sbjet
Mccain 3 personal attack and dont like the quote again walk the walk..talk the talk stuff nope doesnt work for me #Tweetdebate,jas_aiken
#tweetdebate McCain can only play one tune.,SukiFuller
Health care costs and social spending sounds like chump change compared with Corporate Welfare. #current #tweetdebate #debate08,cmarlow480
3 McCain for taling in circles. I dont understand what he is saying. #tweetdebate,93octane
How long until McCain notes the amount of times Obama voted Present rather than Yea or Nay #tweetdebate,andrewkgay
1 Obama for breaking the debate rules and walking over the moderator. #tweetdebate,themurmish
McCain 1 for hogging the mic. #tweetdebate,bchesnutt
#tweetdebate Obama right to focus on issues in deregulation and McCain ignoring these issues,themurmish
McCain 1 weird smirking/laughing #tweetdebate,aagha
@current #current Obama is stuttering too much. Sounds like Porky Big,sairy
Financial rescue  More like financial bailout!  #tweetdebate,daveevans
3 McCain still attacking Obama (and spends more time looking at the podium) and 5 for that smile #tweetdebate,bethclauss
I only just remembered that this was a foreign policy debate. #tweetdebate #current #debate08,starweaver
1 Obama for too many disclaimers re potential economic recovery plan #tweetdebate,MyMelodie
@current Healthcare is a financial killer in our capitalist society oh the irony.  #current,barbaranixon
@MaryTrigiani Yes when she lost Miss Alaska.,themurmish
1 to Obama for leaving out conservation in the list of things that will free us from foreign oil #tweetdebate,jgee
What is obama talking about with electricity #current #tweetdebate,nericksx
ok obama people are glazing.  #tweetdebate,bcjb
Obama 1 what are you giving up in terms of spending exactly #tweetdebate,johnnycho
China also let infants drink tainted milk do we REALLY want to be like them #debate08 #maccainshot #obamashot #tweetdebate #current,nericksx
slipped that in  #tweetdebate,JeffLowe
McCain 3 another personal attack  #tweetdebate,Adam Zand
#tweetdebate I oppose drinking game  bottoms up!,themurmish
3 McCain Personal attack it is hard to reach across the aisle when one is that far to the left. #tweetdebate,kdpaine
2 McCain for redundancy #tweetdebate,naum
@current #current How in this day and age can you deny help to anyone who wants to produce alternative fuel 4 McCain,Darnell Clayton
#tweetdebate How many people know what costplus contracts are I wouldnt know if I hadnt worked for constructionrelated clients.,starweaver
McCain 1 for false claims on Obamas voting record. #tweetdebate,Will Reynolds Young
#tweetdebate defence contract inefficiency in contracts not the problem a symptom warring foreign policy is the REAL problem,cmarlow480
Unfortunately Obama didnt answer the question of what would he cut...#debate08 #tweetdebate,KenHUffman
3 pts simply because McCain said hes against ethanol subsidies. boo...#tweetdebate,3locina
The moderator looked scary just now  #current #tweetdebate,twittelator
Mccain +3 examine quote ok.. but 1 not answering the question #tweetdebate,ObamaNews
1 Obama for his crazy stuttering. Slow down think and THEN speak #tweetdebate,webbing10
McCain 2 for false statement Obama does not have the most liberal record  #tweetdebate,gwfrink3
McCain 2 for bringing federal prison into every question; is he thinking hes lucky not to be there himself think Keating #tweetdebate,changeforge
McCain 1 for mischaracterizing a naval program #tweetdebate,NTWhite
#tweetdebate hahahah...wildly liberal is just me opposing bushs wrongheaded policies,shrekserve
Google for government huh #tweetdebate,francishopkins
1 Obama not answering question about specific cuts #tweetdebate,lumatts
Obama  Wheres the teleprompter and cue cards! #current #tweetdebate,bmaleszyk
Obama 1 for evading question on what to cut #tweetdebate,c4chaos
Dang tweeting while pausing the Tivo is not the right thing to do #current #debate08 #tweetdebate,RobSample
Wheres the foreign policy part of the debate S  #tweetdebate #current,93octane
McCain 1 for evading question on what to cut #tweetdebate,lumatts
#tweetdebate Using a hatchet when you need a scalpel. #obamashot,foolthrottle
Obama soundbite problem with a spending freeze is youre using a hatchet when you need a scalpel #tweetdebate,cuban_dudeca
Mccain 1 what spending freeze  unclear at all #tweetdebate,elaineschoch
Close ups of Obama make him look old  #current #tweetdebate,Sarah
Obama I wanna keep spending moneyhis Early Childhood education is full of crap. #current #tweetdebate,themurmish
3 mccain #tweetdebate spending freeze for everything but defense  what about our children our education energy independence,RoninVision
@current Damn McCain just had to play the terrorist card. #current,TheMacG33k
more nukes is not the answer #tweetdebate,timothyjordan
1 McCains off topic on counterpoint about spending cuts    #tweetdebate,akohler
McCain really shouldnt think off the cuff hell paint himself into a corner very quickly  #tweetdebate #current,RobSample
Bill pissed  #tweetdebate  hes like step up!,travisfell
McCain 1 for a stunt. Spending freeze is classical BS #tweetdebate,myhairhurts
1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate,RyanAdams
What the heck is the line graph at the bottom of CNNs screen Looks like my pulse! #tweetdebate,Idgit
Yes Obama I want to hear more about your superiority  #current #tweetdebate,RobinDeCato
McCain 2 Nuclear power is limited too dude! By 2050 we are out of Uranium! And your power plant is done in 2030 #tweetdebate,coffeemakergirl
Roosevelt again. shit. he needs to throw down  #tweetdebate,lucysspleen
lehrer constantly rephrasing questions  mccain rambles too much to cover his talking points. 1 mccain #tweetdebate,MediaLizzy
1 pt for Jim Leher for asking a stupid question will the economic failure change the way you rule as president uh...YEAH. #tweetdebate,foresmac
@orbitaldiamonds IKR Absolutely ridiculous.,ARK2019
#tweetdebate Google for governmentuh did anyone vote against that  Voice votes on slam dunk legislation isnt a record of accomplishment,JohnEspinoza
Spending freeze Really McCain #tweetdebate,invalidtwit
#tweetdebate agree with Obama  McCain hatchett job ive step. We need a scalpel. Granularity of growth argument.,DonIrvine
@Condoulo oh boy good point I doubt I would vote for her milf GMilf etc self anyway.,RhiannonSL
McCain 3 for total nonsense #tweetdebate,tracy1314
Obama  spending on healthcarehe couldnt admit that this spending must stop!   #current #tweetdebate,Kristasphere
1 McCain for not having a clue how many people cant afford a doctor at all #tweetdebate,susanfsu
McCain 1 for evading question on what to cut #tweetdebate,akohler
both 2 for saying the same thing over and over again. I know its because people wont get it otherwise. People 3  #tweetdebate,skmak
#current #tweetdebate people without healthcare dont have those decisions to make McCain.,yesmagazine
1 mccain for promoting nukes and not talking about storage of spent fuel #tweetdebate,technomonk
Cut spending Cut spending Cut spending Cut spending Cut spending S  #tweetdebate #current,redmanbluestate
#tweetdebate McCain 2 broken record cut spending. Big duh...,GlobalLeader
@usermac if McCain is a cool beverage its a plastic tumbler of prune juice.  So unpleasant and cramp inducing.,flamyngo
#tweetdebate we can handle banks over to the federal government but not healthcare,Koalemos
@current #current Spending got out of control under REPUBLICAN presidency.,soapboxmom
#tweetdebate  McCain calls for all energy alternatives including Nuclear!  McCain also says Climate Change.  Boo.,zakblogs
I think Obama miscalculated with not supporting a safe nuclear power program. #tweetdebate,calweb
McCain 3 for another complete mischaracterization of reality (debt to china is utterly irrelevant) #tweetdebate,starweaver
@theebayk1d No..... we will end up with a conservative who supports drilling here in the US as we go to alternatives second ammendment etc,J_Lo
McCain 3 for making a false statement about Obamas health care plan #tweetdebate,uncleloki
@SistersTalk The fear climate descended with Bush got the West Wing keys. #current #tweetdebate #debate08,oevl
Obama 3 for getting Jim err Johns name wrong and not addressing him as senator lack of respect #tweetdebate,alpha_park
This orgy of spending....and you voted for his budgets #tweetdebate,XEDJ
More pissing on spending... #current #tweetdebate,otenkiya
#tweetdebate Sen O YOU voted for Bush budgets. Stand here and say that when it hasnt happened over last 8 hears its hard to swallow.,chickenface
probably...eventually.... cmon McCain grow a pair #tweetdebate,ch3ryl
Obama  you voted for all of the budgets that have fuelled this orgy of spending. #tweetdebate,saramills
He was voted Miss Bitch  #tweetdebate,chrgra
McCain rehearsed soundbite I have not been voted Ms Congeniality #tweetdebate,leonleaf
I guess McCain only spends money on shoes make up and houses  #tweetdebate,scheidel
#tweetdebate Overused phrase of the night Miss Congeniality. Wonder how that plays overseas,frumioj
#tweetdebate soooo tired of hearing i have not been electd miss congeniality.,martin_kelley
McCain 1 for reuse of Miss Congeniality reference #tweetdebate,craigbates
@current #current If McCain would definitely make a very ugly Ms. Congeniality. Its a lousy cliche to keep throwing out though.,ReubenIngber
OHHHH First uppercut of the night!  #tweetdebate #current,bookofjames
45 Nuclear Plants  OMG WTF!!!  #tweetdebate,smallspark
2 McCain for saying Miss Congeniality twice so far. #tweetdebate,patrykbot
#tweetdebate McPain Im proud to say Ive got a good partner who is a maverick. [thats ONE way to describe someone whos clueless],emlopez
McCain 2 for saying were winning in iraq im pretty sure thats not true #tweetdebate,Nicole Beauchemin
Not being mr congeniality is a BAD thing.  If your senate wont work with you other countries wont and we need friends #tweetdebate,ethanbauley
McCain 2 for not answering the question #tweetdebate,PJsMommy
Why does McCain leep talking about Miss Congeniality when thats the title Sarah Palin won #tweetdebate,RyuPlasticTree
Obama has been hammering the afgan point too hard we get it!  #current #debate08 #tweetdebate,Barackbar
$10 billion/mo in Iraq and McCain wants to talk about earmarks #current #tweetdebate #debate08,Thompson_Guevar
i hate it when obama tries to be all hawky. #current #tweetdebate,CarriBugbee
#tweetdebate Sen O Al Quaeda stronger now than since 01. Lesson we have to use military WISELY and we didnt do that in Iraq.,chuckfull
macain 1 on where he stands on the $700B bailout he didnt tell us HOW #tweetdebate,tayari
@current Its either some epic battle against the terrorists or hey look its broken yall.  #current,NTWhite
1 Obama initially off topic answering question on lessons of war  #tweetdebate,Zaxnu
McCain 3 personal attack (what without evidence huh what hearing #tweetdebate,gregmcneilly
Wow whoever created McCains talking points was really reaching... #tweetdebate #current #debate08,davedelaney
2 McCain for saying we are winning in Iraq. I dont see anything coming out of the Iraq war. #tweetdebate,crazyliberal
SURGE....tired of that term.  Were still there; were still losing people (maybe more due to the surge) #tweetdebate #debate08 #current,dogzinmahride
Obama gives strong kudos to Biden ... is McCain going to applaud his selection of the Palin creature #current #tweetdebate #debate08,littlesparrowp
1 for obama trying to ignore the fact the fact that mccain has been a lone voice calling for a change in iraq strategy #tweetdebate,MrDelawareOhio
Mccain 1 for not looking at Obama when Obama is looking at him #tweetdebate,gregmcneilly
@current  It reminds me of some teenagers that totally fucked up their parents house and now they dont want to admit it.  #current,lulu_81
McCain 1 for a false statement about Obama commitee responsibilities #tweetdebate,zapatista961
McCain 3 for being a pompous ass. #tweetdebate,timothyjordan
oooh Im afraid Obama doesnt understand the difference between a tactic and a strategy.  McCain #current #tweetdebate,Livelifeinpeace
#tweetdebate #obamashot you were wrong you were wrong you were wrong you were wrong,PureFLCL
#tweetdebate McPain Sen O doesnt understand diff between tactic and strategy [they dont teach you those things at Harvard law!],jlather
3 Mccain for a backhanded comment (Obama doesnt understand the tactic and the strategy) #tweetdebate,scoobeee
FACT Soldiers are not reenlisting now buddy! And they are not voting for you! #current #debate08 #tweetdebate,CarriBugbee
McCain 2 for triggering patriotism all the time #tweetdebate,minusidea
McCain selecting Palin to win the election is a tactic dying and making her President is a strategy. # Current #debate08 #tweetdebate,JohnCavanagh
Yes. Lets cut spending for everything EXCEPT our defensive contracts. Are you fucking kidding me #tweetdebate,myentirename
@current  Oh there came the Osama card.  That would have been the perfect time for McCain to accidentally mess up his name.  #current,ampersandwich
Facebook Blunt Jackson McCain 3 for total falsehoods and personal attacks #tweetdebate. http//tinyurl.com/43v3kc,gipson
#tweetdebate McPain STILL quibbling over definition of strategy and tactic.,Loggerhead
1 mccain wtf is he talking about in Afghanistan Ramble on old man #tweetdebate,wakeuppeople
Im afraid Senator McCain doesnt know the difference between succeed and exceeed. #tweetdebate,tigerbeat
Obama should only interrupt McCain when McCain lies... oh never mind that would be more interruptions... # Current #debate08 #tweetdebate,rebeccabecca
@current  Oh that brings up a good question.  How the hell can we afford wars that dont matter when were broke  #current,ch3ryl
Why is that Obama calls McCain John all the time but McCain never refers to Obama by his first name #tweetdebate,calweb
#current #debate08 #tweetdebate Wow cant anyone stop Mcs bald lies,menwuur
#tweetdebate #obamashot Obama has NOT said change yet. Should i return the tequila bottle,soapboxmom
@ceanders And he keeps smiling in a really passive pedophile way,hardaway
@current  Do you realize how expensive military weaponry is  For Christs sake cant we just fight our wars with propaganda  #current,wanamoka
Agreed Iran shouldve been the #1 focus. #tweetdebate,PinkOliveFamily
#tweetdebate Sen O brings up subject of Pakistan. McPain Wont repeat mistake I regret enormously...washed our hands of region (after USSR),dftbaalli
McCain soundbite You dont say that out loud! #tweetdebate,DominickEvans
#tweetdebate Its the economy stupid.,chuckfull
McCain but those freedom fighters were alquaeda 2 #tweetdebate,chickenface
I must disagree with Obama  Iran is bigger threat than Al Qaeda #tweetdebate,vanmaanen
McCain 2 for mischaracterizing Obama on Pakistan #tweetdebate,royalwcheese
Maybe McCain will let Paliin handle Pakistan ... she met some world leaders the other day ... shes ready!! #current #tweetdebate #debate08,dpbarrios
@current  Why do we care about Pakistan  Because they have nuclear weapons  Do they have stability  #current,verybigfish86
You dont say things out loud! Core problem as Republicans #tweetdebate,mojohito
Yep I agree I think that MCCAIN is twisting facts and making lies up about shit. #tweetdebate,Rurik4464
McCain 1 for man crush on General Patraeus #tweetdebate,Rsquared
McCain is treating him like the manchild he is.  Obama needs to stop being so congenial if he wants to win. #current #tweetdebate #debate08,catonpot
McCain sounds condescending to Obama; Obama sounds angry at times when refuting claims by McCain #tweetdebate,alexashrugged
Obama finally called him John not Tom nor Jim... #tweetdebate,masteradept
Obama 3 for repeating his Pakistan threads again! #tweetdebate,3rdmartini
#tweetdebate Isnt this supposed to be a debate on domestic issues,RobSample
@current TAKE OUT BIN LADIN YOU LIL BASTARDS!!! #current,bratta
McCain 1 for smug smiles. #tweetdebate,claynferno
Mccain 1 for saying that Obama wanted to attack Pakistan! #tweetdebate,coffeemakergirl
McCain 1 for smug smiles. #tweetdebate,jasoncarini
Obama 1 ok.. you got the leader of N.Koreas name wrong re pronunciation  need to practice #tweetdebate,leambercat9
#tweetdebate  Hating that audience reaction graph at the bottom of CNN.,bookofjames
#tweetdebate 2 for Obama for saying McCain is right too much,ChristopherY
Coming from you whove sung songs about bombing Iran I dont know how credible that is.  SCORE! #current #debate08 #tweetdebate,ganesha23
Ooh bomb iran remark hurt! # Current #debate08 #tweetdebate,kyeung808
#current #tweetdebate #debate08,kellieparker
Obama 1 again Pakistan threat #tweetdebate,sairy
retweet Obama +3 coming from you who sings songs about bombing Iran I dnot think thats NOT very credible #tweetdebate,reBang
Retweet @AndrewSmith If Petreaus was McCains drinking word Id be on the floor at this point. #current  #tweetdebate,johndoe1211
Oh here we go with The Record. #current #debate08 #tweetdebate,ParandimeX
@current  Youre welcome to be free!...as long as youre under our control...  So hows your mom  #current,kathrynjones
wonder how the Pakistanis feel about being called a failed state by mccain #tweetdebate,nfusa
mccain 1 for saying Obama doesnt understand this or that he is being too condescending #tweetdebate,rianf
@evolver I believe the world would implode if they made eye contact with each other. Just saying.  #current #tweetdebate,J_Lo
why do I all of sudden dont care about Mccains record #current #tweetdebate,carondelet
#tweetdebate Obama 3 for Pakistan comments; McCain 3 for smugness and downtalking to Obama. What happened to I respectfully disagree,d2k
Reagan is why this country is in debt in the first place #tweetdebate,Chorazin
McCain 2 for naming dead soldier cheap shot #tweetdebate,ehwood
McCai 3 for telling shitty bracelet story. Dont waste my time John! #tweetdebate,ReedSteamroller
Obama needs to explain antidemocratic comment (i.e. letting Musharraf take over after coup  average American not understand) #tweetdebate,vagabondproject
Ok why is it when Mccain makes a point about something he backs it with a war story #tweetdebate,systris
#tweetdebate McCain 3 for pulling out all the stops on war vets when we know he supported the cutting of the VET benefits,aagha
mccain 1 pulling the emotional heart strings about making it all worth it  #current #tweetdebate,jedatu
@current #current Oh here is where McCain tries to look human by bringing human interest into the debate. Looks trite and cliche,emlopez
McCain has stopped debating and resumed his campaigning. #tweetdebate,mrRah
*SNORE* #mccain 2 #tweetdebate,jwa1970
@jaymesiemer Yeah my 86 year old mother is upset too... and she doesnt really keep up with these things too much any more!,geekmum
The easiest way to put our young men and women into harms way is to vote Republican. #tweetdebate,matttbastard
McCain pissing me off about Iraq war bracelet! I wear my Uncles from VietNam (hes on the last known alive list) what about HIM #tweetdebate,TaiwanBrown
1 McCain for telling heartstring pulling stories that dont make a point #tweetdebate,tenspeed
Why dont we just send Iron Man to Afghanistan #current #tweetdebate,gruntled
Obama 2 for copying cheap shot #tweetdebate,hexmode
Uhh dishonor. Are we Klingon now #tweetdebate,jervin
Who wants defeat #tweetdebate,perinandy
McCain talks like my grandpa... just telling stories #tweetdebate,gregmcneilly
Ive got a bracelet too. UGHHH ME TOO! ME TOO!!!  Who is actually WEARING it  #tweetdebate,citizenziggy
Obama 3 for more bracelet shit #tweetdebate,janoss
#tweetdebate A bracelet war,kathrynjones
@current  Define defeat.  Oh you mean like your economy collapsing from within like...because of a terrorist organization  #current,craigbates
no us soldier ever dies in vain huh... #tweetdebate,kctrey
#debate08 #current #tweetdebate Obama needs to stop stuttering,2arrs2ells
@BrianMcAlister You dont say that out loud,granleese
Its a DEBATE not story time! #tweetdebate #current #momocrats,Mona Kasra
Yeah well I have a necklace and 2 anklets!! #current #debate08 #tweetdebate,alpha_park
Both of them 3 for sounding like every other candidate weve ever elected #tweetdebate,seamuscondron
#tweetdebate Obama 3 twice once for the me too comment on bracelet & for saying McCain is right instead of I agree,JennGrover
1 obama ouch on bracelet remark #tweetdebate,jasonnorm
@barbaranixon I daresay at the current person in the highest elected office would at least look at him! And he doesnt do much really.,talkingorange
#tweetdebate can you believe they are talking about bracelets,ARK2019
christ if I could vote Im not sure I would want to vote for either O or M based on this #current #tweetdebate #debate08,velociped
progress in debates. weve moved on from lapel pins to bracelets. #tweetdebate,wanamoka
i am not persuaded by this idea about relocating the war. #current #tweetdebate,stoutware
It must be really weird debating someone who will not look at you. Look at him John!  #tweetdebate,mikekellogg
It must be really weird debating someone who will not look at you. Look at him John!  #tweetdebate,Bonedwarf
@janoss  why does McCain not look at Obama Can you answer that one,deedashrob
#tweetdebate I cant stand when people debate military strategy by bringing up personal soldier stories. Like McCains doing.,rcapote
@current how long is the delay,NTWhite
2 McCain +2 obama mccain said you can muddle thru afganistan. #tweetdebate McCain sounds condescending and petulant,ARK2019
@current  Did Al Queda take down the economy  Well it is a coincidence that we are pissing away money indirectly as a result. #current,andreamercado
#tweetdebate we drink everytime they say Iraq Bailout Bush Iran Israel allies Global Warming Toxic Obama McCain my friends,kersting
2 pts for McCains personal attack BTW when Im subcommittee chairman we take up the issues in our subcommittee #tweetdebate,cuban_dudeca
McCain 1 John we know you were in Iraq and Afghanistan and probably had good dinner there #tweetdebate,baratunde
is this a debate or a campaign stop       #tweetdebate,Bonedwarf
1 Obama for sucking up to Jim #tweetdebate,VJESCI
#tweetdebate McCain seems like hes really holding in his anger in response to Obama. Quite the contrast.,nikiblack
@snooks56 The bracelet wars are reminiscent of Danny Glover and Mel Gibson comparing scars in Lethal Weapon  #current #tweetdebate,RobinCollins
#tweetdebate Existential John McCamus,thepete
McCain sound bite League of Democracies. Will Supes be on our side Are they going to fight the Axis of Evil #tweetdebate,bookofjames
McCain 3 for holocaust reference. Whats happening in Dafur #tweetdebate,moritazul
Isreal will suffer overwhelming ennui #current #tweetdebate,sidcarter
I think Republicans learn a different math... #tweetdebate,peerfan
3 McCainfearmongering who said anything about a 2nd holocaust #tweetdebate,jameswilliamiii
blinkys back! (aka McCain) #tweetdebate #current,cadler
#tweetdebate MCCain Iranians are putting lethal IEDs in Iraq.,RobinCollins
McCains gaffe Iran has a lousy government. Thats some good intl diplomacy! #tweetdebate,InTheBurg
so a holocaust caused by Iran is bad but whats happening in Darfur can be ignored #tweetdebate,crysharris
McCain mentions existentialism and the French in the same statement.  Irony.  #tweetdebate,gminks
#tweetdebate McCain Iranians have a lousy economy. Kinda like...us! Speaking of the economy... Why arent they talking more about it,kellyrenee
5 McCain youre missing the lead questions and walking on way too many tangents... #tweetdebate #debate08,verychewy
2 Obama saying McCain is right too many times even if true   #tweetdebate,mdenny
I cant believe McCain is talking about Irans threat now. Lets get Iraq/Afganistan fixed first #tweetdebate,jochum
@lumatts It is a lousy government. corrupt and unable to provide basic services for its citizens #tweetdebate,divesnob
5 Obama for continuing to say that McCain is right! Augh! Stop that! #tweetdebate,mattthomas
1 hour in have we heard ANYTHING new Following #tweetdebate is fun,POttenhoff
Dems are too polite. Obama needs to stop saying Mcain is correct. #tweetdebate,daltonsbriefs
@theebayk1d No I dont live on Fox either.,BlondeBlogger
McCain 1 League of Extraordinary Countries (UN) Obama +1 We strengthened Iran by taking our Iraq #tweetdebate #debate08,shayera
@gminks I want that League tshirt. McCain is progressive as a 1950s thinker,Laurie2
@current Then have the guilty bastards retroactively reregulated and banished somewhere funny.  #current,MailOurMilitary
